house,title,location,date_start,date_end,date_label,url,has_catalog,source,image
Christie's,Watches Online: Hong Kong Edit,"Online, Hong Kong",2026-09-24,2026-10-07,2026-09-24 – 2026-10-07,https://onlineonly.christies.com/sso?SaleID=31133&SaleNumber=24477,True,Christie's,https://www.christies.com/img/saleimages/HGK-24477-09242026-1.jpg?Width=600
Christie's,Watches Online: The Geneva Edit,"Online, Geneva",2026-10-15,2026-10-22,2026-10-15 – 2026-10-22,https://www.christies.com/en/auction/watches-online-the-geneva-edit-24404-gnv/,True,Christie's,https://www.christies.com/img/saleimages/GNV-24404-10152026-1.jpg?Width=600
Christie's,Rare Watches Including Watches for ELA,Geneva,2026-11-09,2026-11-09,2026-11-09,https://www.christies.com/en/auction/rare-watches-including-watches-for-ela-24403-gnv/,True,Christie's,https://www.christies.com/img/saleimages/GNV-24403-11092026-1.jpg?Width=600
Christie's,Rétromobile New York Auctions,New York,2026-11-20,2026-11-21,2026-11-20 – 2026-11-21,,False,Christie's,https://www.christies.com/img/saleimages/NYR-25352-11202026-1.jpg?Width=600
Christie's,Important Watches,Hong Kong,2026-11-26,2026-11-26,2026-11-26,,False,Christie's,https://www.christies.com/img/saleimages/HGK-24478-11252026-1.jpg?Width=600
Christie's,Watches Online: The New York Edit,"Online, New York",2026-12-01,2026-12-11,2026-12-01 – 2026-12-11,https://www.christies.com/en/auction/watches-online-the-new-york-edit-24505-nyr/,True,Christie's,https://www.christies.com/img/saleimages/NYR-24505-12012026-1.jpg?Width=600
Christie's,Important Watches,New York,2026-12-07,2026-12-07,2026-12-07,https://www.christies.com/en/auction/important-watches-24504-nyr/,True,Christie's,https://www.christies.com/img/saleimages/NYR-24504-12072026-1.jpg?Width=600
