title,brand,price,url,img,description,source,sold
Jaeger-LeCoultre Atmos Clock Lapis Dial,Jaeger-LeCoultre,3750,https://watchesofknightsbridge.com/product/jaeger-lecoultre-atmos-clock-lapis-dial/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR576.jpg,"A fine & rare Jaeger-LeCoultre Atmos Clock with original Lapis-effect lacquer dial, circa 1960s. This stunning clock remains in excellent original condition and in full working order.",Watches of Knightsbridge,False
Patek Philippe Calatrava Yellow Gold 3538 Grey Dial,Patek Philippe,9500,https://watchesofknightsbridge.com/product/patek-philippe-calatrava-yellow-gold-3538-grey-dial/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR448.jpg,"1960s Patek Philippe Calatrava Ultra Slim, reference 3538 in yellow gold. This example features a stunning original grey dial in excellent condition.This watch has recently been serviced by an independent watchmaker.",Watches of Knightsbridge,False
Patek Philippe Gondolo 2530/1 Yellow Gold,Patek Philippe,12000,https://watchesofknightsbridge.com/product/patek-philippe-gondolo-2530-1-yellow-gold/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR575.jpg,"The Patek Philippe Gondolo reference 2530/1 is an exceptionally attractive vintage reference prized for its classic proportions and understated elegance. Combining rarity, craftsmanship, and enduring collector appeal, it remains one of the most desirable expressions of Patek Philippes mid-century design language. The curved rectangular case with chamfered edges measures 27mm by 35mm (large size for the period) wearing perfectly on the wrist. The original dial remains in excellent condition with ",Watches of Knightsbridge,False
Boucheron Reflet Carrée Extra Plate Pink Gold,Other,5000,https://watchesofknightsbridge.com/product/boucheron-reflet-carree-extra-plate-pink-gold/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR573.jpg,"The iconic Boucheron Reflet Carrée Extra Plate in 18k solid pink gold, circa 1960s. This watch features the Clous de Paris pattern on the case and solid pink gold dial. The ultra slim square case is signed Boucheron Made In France with French Eagles Head hallmark and houses a Frederic Piguet cal. 21 manual wind movement. Overall this watch remains in excellent condition and has just been serviced by an independent watchmaker.",Watches of Knightsbridge,False
Patek Philippe Calatrava 3992J Automatic,Patek Philippe,10500,https://watchesofknightsbridge.com/product/patek-philippe-calatrava-3992j-automatic/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR572.jpg,"Patek Philippe Calatrava reference 3992J in 18k solid yellow gold, circa 1990. This classic model features a white Roman numeral dial, Clous de Paris Hobnail bezel and automatic calibre 240 microtor movement. The watch has just been serviced by our watchmaker and comes with a one year mechanical warranty.",Watches of Knightsbridge,False
Large Size Omega Constellation Extra Flat 151.0035 Yellow Gold,Omega,6500,https://watchesofknightsbridge.com/product/large-size-omega-constellation-extra-flat-151-0035-yellow-gold/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR570.jpg,"The Omega Constellation Chronometer Extra-Flat, reference 151.0035, circa 1972. This rare Constellation model features a large 18k solid gold rectangular case with cut corners and houses an ultra-slim Omega calibre 712 automatic movement. The dial is signed OM Swiss Made OM at 6 oclock which was Omegas designation mark used to indicate that the dial is made of solid gold (Or Massif). Overall the watch remains in excellent original condition and has been recently serviced by an independent watchm",Watches of Knightsbridge,False
VC Overseas Mini Mother of Pearl Diamond 16050,Vacheron Constantin,5950,https://watchesofknightsbridge.com/product/vacheron-constantin-overseas-mini-mother-of-pearl-diamond-16050/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR569.jpg,"The Vacheron Constantin Overseas reference 16050 is an elegant and refined interpretation of the maison’s iconic sports watch, presented in stainless steel with a beautifully feminine aesthetic. Combining the distinctive character of the Overseas collection with luxurious detailing, this example offers a sophisticated balance between sportiness and elegance. The watch features an exquisite mother-of-pearl dial, accented by diamond-set hour markers that catch and reflect the light beautifully. Th",Watches of Knightsbridge,False
Breguet Classique Automatic 5917 Yellow Gold,Breguet,7500,https://watchesofknightsbridge.com/product/breguet-classique-automatic-5917-yellow-gold/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR565.jpg,"An elegant example of Breguets timeless design language, the Classique Ref. 5917 combines traditional craftsmanship with understated sophistication. Housed in a 34.5mm yellow gold case with the brands signature fluted caseband, it features a hand-guilloché silvered dial with Roman numerals, blued steel Breguet hands, and a date display at 3 oclock. Powered by the automatic Calibre 517GG, visible through a sapphire caseback, the 5917 is a refined dress watch that embodies the heritage and horolog",Watches of Knightsbridge,False
1992 Breguet Classique Ultra Thin Automatic 3390,Breguet,7250,https://watchesofknightsbridge.com/product/1992-breguet-classique-ultra-thin-automatic-3390/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR564.jpg,"Breguet Classique Ultra Thin Automatic reference 3390, delivered in October 1992 to Helmu Teriet GmbH Duesseldof, Germany as confirmed by the Breguet Heritage department.. This rare example features its original guilloché dial and 32mm ultra-slim coin edge case housing a fine calibre 502 automatic movement (Frederic Piguet base cal. 71). The watch is complimented by a brown alligator strap and its original Breguet GRG solid gold pin buckle. Overall the watch is in excellent condition and has rec",Watches of Knightsbridge,False
1970s Vacheron Constantin Yellow Gold 39202,Vacheron Constantin,6250,https://watchesofknightsbridge.com/product/1970s-vacheron-constantin-yellow-gold-39202/,https://watchesofknightsbridge.com/wp-content/uploads/2026/08/CUR563.jpg,1970s Vacheron Constantin Yellow Gold reference 39202. This ultra classic VC features its original golden brushed dial with black inlaid markers. The watch is powered by the ultra thin cal. 1015 manual wind movement housed in an elegant cushion shaped case. This watch has just been serviced by an independent watchmaker and overall is in excellent condition.,Watches of Knightsbridge,False
