house,title,location,date_start,date_end,date_label,url,has_catalog,source,status_hint
Monaco Legend,Exclusive Timepieces 40,Monaco,2026-04-25,2026-04-26,25 - 26 April 2026,https://www.monacolegendauctions.com/auction/exclusive-timepieces-40,True,Monaco Legend,live
Monaco Legend,Exclusive Timepieces 41,Lugano,2026-06-04,2026-06-04,4 June 2026,https://www.monacolegendauctions.com/auction/exclusive-timepieces-41,False,Monaco Legend,upcoming
